CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,117
2021-09-14,114
2021-09-15,99
2021-09-16,124
2021-09-17,121
2021-09-18,121
2021-09-19,121
2021-09-20,121
2021-09-21,121
2021-09-22,121
2021-09-23,121
2021-09-24,121
2021-09-25,121
2021-09-26,121
2021-09-27,198
2021-09-28,205
2021-09-29,170
2021-09-30,174
2021-10-01,200
2021-10-02,0
2021-10-03,0
2021-10-04,228
2021-10-05,208
2021-10-06,193
2021-10-07,179
2021-10-08,180
2021-10-09,180
2021-10-10,180
2021-10-11,180
2021-10-12,168
2021-10-13,156
2021-10-14,183
2021-10-15,209
2021-10-16,191
2021-10-20,160
2021-10-21,163
2021-10-22,144
2021-10-23,144
2021-10-24,144
2021-10-25,181
2021-10-26,194
2021-10-27,201
2021-10-28,208
2021-10-29,200
2021-10-30,200
2021-11-01,203
